"","IDENTIFICADOR","ENTIDAD","MUNICIPIO","NOMBRE_ENT","NOMBRE_MUN","POB_TOTAL","POB_TOTAL_2021","REPORTADOS_TOTALES","CONFIRMADOS_TOTALES","DEFUNCIONES_CONF","DESCARTADOS_TOTALES","PROBABLES_TOTALES","PORCENTAJE_POSITIVIDAD","PROB_ESTIMADOS","TOTAL_ESTIMADOS","PRUEBA_POSITIVA_1A4","SERO_1","SERO_2","SERO_3","SERO_4","INC_ACUM","TASA_MORT","REPORTADOS_TOTALES_2021","CONFIRMADOS_TOTALES_2021","DEFUNCIONES_CONF_2021","DESCARTADOS_TOTALES_2021","PROBABLES_TOTALES_2021","PORCENTAJE_POSITIVIDAD_2021","PROB_ESTIMADOS_2021","TOTAL_ESTIMADOS_2021","PRUEBA_POSITIVA_1A4_2021","SERO_1_2021","SERO_2_2021","SERO_3_2021","SERO_4_2021","INC_ACUM_2021","TASA_MORT_2021","INDICE_REZAGO","INDICE_MARG","VUL1_E","TASA_MORT_ESTR","INC_ACUM_ESTR","TASA_MORT_2021_ESTR","INC_ACUM_2021_ESTR","INC_ACUM_GPO","TASA_MORT_GPO"
"1","1- 1",1,1,"Aguascalientes","Aguascalientes",948990,974529,12,4,NA,7,1,36.3636363636364,0.363636363636364,4,2,NA,2,NA,NA,0.421500753432597,0,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.31532,60.2778112950391,NA,0,0.421500753432597,0,0,"Baja","Baja"
"2","1- 2",1,2,"Aguascalientes","Asientos",51536,51383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.857301,56.5052030723155,NA,0,0,0,0,"Baja","Baja"
"3","1- 3",1,3,"Aguascalientes","Calvillo",58250,61389,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.918554,57.0173585752554,NA,0,0,0,0,"Baja","Baja"
"4","1- 4",1,4,"Aguascalientes","Cosío",17000,17076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.00402,57.0731564266902,NA,0,0,0,0,"Baja","Baja"
"5","1- 5",1,5,"Aguascalientes","Jesús María",129929,132340,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.17336,58.9708180490475,NA,0,0,0,0,"Baja","Baja"
"6","1- 6",1,6,"Aguascalientes","Pabellón de Arteaga",47646,50574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.16876,58.5838296098834,NA,0,0,0,0,"Baja","Baja"
"7","1- 7",1,7,"Aguascalientes","Rincón de Romos",57369,58600,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.06549,57.6057647406585,NA,0,0,0,0,"Baja","Baja"
"8","1- 8",1,8,"Aguascalientes","San José de Gracia",9552,9771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.956906,57.4866092048888,NA,0,0,0,0,"Baja","Baja"
"9","1- 9",1,9,"Aguascalientes","Tepezalá",22485,23017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.900102,56.5634470933844,NA,0,0,0,0,"Baja","Baja"
"10","1- 10",1,10,"Aguascalientes","El Llano",20853,22189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.829259,56.5149085479692,NA,0,0,0,0,"Baja","Baja"
"11","1- 11",1,11,"Aguascalientes","San Francisco de los Romo",61997,52584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.07547,58.5111727362411,NA,0,0,0,0,"Baja","Baja"
"12","2- 1",2,1,"Baja California","Ensenada",443807,544568,11,4,NA,7,NA,36.3636363636364,NA,NA,4,1,3,NA,NA,0.901292679024892,0,12,2,NA,8,2,20,0.4,2,1,NA,1,NA,NA,0.367263592425556,0,-0.970463,58.0413041568576,0.386766802,0,0.901292679024892,0,0.367263592425556,"Baja","Baja"
"13","2- 2",2,2,"Baja California","Mexicali",1049792,1105279,9,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.24035,59.3440322663953,0.799870326,0,0,0,0,"Baja","Baja"
"14","2- 3",2,3,"Baja California","Tecate",108440,115534,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.02464,58.3491437508772,0.189205007,0,0,0,0,"Baja","Baja"
"15","2- 4",2,4,"Baja California","Tijuana",1922523,1815100,9,1,NA,4,4,20,0.8,2,1,NA,1,NA,NA,0.0520149823955292,0,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.14964,59.0993325305965,NA,0,0.0520149823955292,0,0,"Baja","Baja"
"16","2- 5",2,5,"Baja California","Playas de Rosarito",126890,109679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.956101,58.2504979297924,NA,0,0,0,0,"Baja","Baja"
"17","2- 6",2,6,"Baja California","San Quintín",117568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.349481,53.3581366192142,NA,0,0,0,0,"Baja","Baja"
"18","3- 1",3,1,"Baja California Sur","Comondú",73021,84593,6,1,NA,4,1,20,0.2,1,NA,NA,NA,NA,NA,1.36946905684666,0,4,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.811338,58.2228511789202,0,0,1.36946905684666,0,0,"Baja","Baja"
"19","3- 2",3,2,"Baja California Sur","Mulegé",64022,68663,13,4,NA,7,2,36.3636363636364,0.727272727272727,5,3,3,NA,NA,NA,6.24785230077161,0,5,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.568869,57.4515986024727,0,0,6.24785230077161,0,0,"Baja","Baja"
"20","3- 3",3,3,"Baja California Sur","La Paz",292241,307330,58,2,NA,34,22,5.55555555555556,1.22222222222222,3,2,1,1,NA,NA,0.684366669974439,0,66,NA,NA,45,21,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.10122,59.8122553765448,0.174231893,0,0.684366669974439,0,0,"Baja","Baja"
"21","3- 8",3,8,"Baja California Sur","Los Cabos",351111,338303,111,23,NA,60,28,27.710843373494,7.75903614457831,31,10,1,9,NA,NA,6.55063498437816,0,46,3,NA,37,6,7.5,0.45,3,2,1,1,NA,NA,0.886779011714351,0,-0.758723,58.6947604153407,0.353524993,0,6.55063498437816,0,0.886779011714351,"Baja","Baja"
"22","3- 9",3,9,"Baja California Sur","Loreto",18052,22170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,5,NA,3,NA,62.5,NA,NA,5,NA,2,3,NA,22.55299954894,0,-0.890728,58.7783342357295,0.67528088,0,0,0,22.55299954894,"Baja","Baja"
"23","4- 1",4,1,"Campeche","Calkiní",59232,64269,5,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7,3,NA,1,3,75,2.25,5,3,NA,3,NA,NA,4.66788031554871,0,-0.427612,55.34033274282,0.440977833,0,0,0,4.66788031554871,"Baja","Baja"
"24","4- 2",4,2,"Campeche","Campeche",294077,322756,285,24,NA,41,220,36.9230769230769,81.2307692307692,105,17,3,14,NA,NA,8.16112786787134,0,74,15,NA,34,25,30.6122448979592,7.6530612244898,23,9,NA,9,NA,NA,4.64747363333292,0,-1.14464,58.5997372341684,0.368525194,0,8.16112786787134,0,4.64747363333292,"Baja","Baja"
"25","4- 3",4,3,"Campeche","Carmen",248845,280167,184,6,NA,22,156,21.4285714285714,33.4285714285714,39,5,2,3,NA,NA,2.41113946432518,0,49,NA,NA,12,37,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.922415,58.0541324853737,0.415908702,0,2.41113946432518,0,0,"Baja","Baja"
"26","4- 4",4,4,"Campeche","Champotón",78170,101675,47,4,NA,4,39,50,19.5,24,2,NA,2,NA,NA,5.11705257771524,0,5,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.446059,54.7917029163504,0.25506205,0,5.11705257771524,0,0,"Baja","Baja"
"27","4- 5",4,5,"Campeche","Hecelchakán",31917,35222,16,NA,NA,2,14,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13,1,NA,1,11,50,5.5,6,1,NA,1,NA,NA,2.83913463176424,0,-0.453318,55.6450797840763,0.414773878,0,0,0,2.83913463176424,"Baja","Baja"
"28","4- 6",4,6,"Campeche","Hopelchén",42140,44780,3,2,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,4.74608448030375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.036244,53.5617638965484,0.152459207,0,4.74608448030375,0,0,"Baja","Baja"
"29","4- 7",4,7,"Campeche","Palizada",8683,10000,10,2,NA,NA,8,NA,NA,NA,1,NA,1,NA,NA,23.0335137625245,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.31218,52.719556591288,0.820072253,0,23.0335137625245,0,0,"Media","Baja"
"30","4- 8",4,8,"Campeche","Tenabo",11452,12121,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.34409,55.1410401506077,0.616895701,0,0,0,0,"Baja","Baja"
"31","4- 9",4,9,"Campeche","Escárcega",59923,64373,80,2,NA,2,76,50,38,40,1,NA,1,NA,NA,3.33761660798024,0,28,NA,NA,2,26,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.379536,54.8493803635116,0.299469468,0,3.33761660798024,0,0,"Baja","Baja"
"32","4- 10",4,10,"Campeche","Calakmul",31714,32174,22,NA,NA,4,18,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.317074,50.6686324126008,0.187043135,0,0,0,0,"Baja","Baja"
"33","4- 11",4,11,"Campeche","Candelaria",46913,49474,95,NA,NA,1,94,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12,1,NA,1,10,50,5,6,NA,NA,NA,NA,NA,2.02126369406153,0,0.414902,50.4730108185981,0.76476374,0,0,0,2.02126369406153,"Baja","Baja"
"34","4- 12",4,12,"Campeche","Seybaplaya",15297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.699509,55.83744707711,NA,0,0,0,0,"Baja","Baja"
"35","5- 1",5,1,"Coahuila de Zaragoza","Abasolo",1022,1145,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8473581213307,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.28219,57.7793160906364,0.639016529,0,97.8473581213307,0,0,"Alta","Baja"
"36","5- 2",5,2,"Coahuila de Zaragoza","Acuña",163058,164667,146,17,NA,107,22,13.7096774193548,3.01612903225806,20,2,NA,2,NA,NA,10.4257380809283,0,1189,726,1,344,119,67.8504672897196,80.7420560747664,807,676,629,43,4,NA,440.889795769644,0.607286220068381,-1.18677,58.4407723079022,0.298399544,0,10.4257380809283,0.607286220068381,440.889795769644,"Baja","Baja"
"37","5- 3",5,3,"Coahuila de Zaragoza","Allende",23056,24960,13,1,NA,5,7,16.6666666666667,1.16666666666667,2,NA,NA,NA,NA,NA,4.33726578764747,0,227,177,NA,17,33,91.2371134020619,30.1082474226804,207,121,116,NA,5,NA,709.134615384615,0,-1.22181,59.7528503447559,0.503123995,0,4.33726578764747,0,709.134615384615,"Baja","Baja"
